FHJKLNPQRSTY,6,
(6/6) + 9 = ?,10,True,S,
(1 * 5) + 5 = ?,15,False,L,
(6/6) + 4 = ?,14,False,J,
(4/4) + 9 = ?,13,False,R,
(7 * 2) + 5 = ?,22,False,T,
(7 * 2) - 5 = ?,9,True,N,
FHJKLNPQRSTY,5,
(8/2) + 4 = ?,8,True,N,
(8/2) + 7 = ?,20,False,R,
(8/2) - 4 = ?,0,True,S,
(5 * 2) + 3 = ?,18,False,H,
(5 * 3) - 3 = ?,18,False,Q,
FHJKLNPQRSTY,4,
(2/2) - 1 = ?,2,False,H,
(2/2) + 8 = ?,14,False,L,
(7 * 2) + 7 = ?,21,True,P,
(3 * 4) - 7 = ?,12,False,T,
FHJKLNPQRSTY,4,
(7 * 1) - 7 = ?,7,False,N,
(6/3) + 7 = ?,16,False,Y,
(8/8) - 1 = ?,0,True,R,
(6/6) - 1 = ?,5,False,T,
FHJKLNPQRSTY,5,
(1 * 8) + 6 = ?,23,False,R,
(5 * 1) - 1 = ?,4,True,Q,
(5/1) + 7 = ?,13,False,N,
(5 * 1) - 3 = ?,4,False,L,
(7 * 1) + 9 = ?,22,False,K,
FHJKLNPQRSTY,6,
(2 * 7) + 4 = ?,18,True,N,
(8/4) - 1 = ?,3,False,Q,
(8/2) + 8 = ?,12,True,K,
(8/8) + 1 = ?,2,True,S,
(4 * 3) + 3 = ?,23,False,P,
(6/6) - 1 = ?,7,False,F,
FHJKLNPQRSTY,6,
(6 * 1) - 1 = ?,7,False,N,
(1 * 1) - 1 = ?,0,True,Y,
(8/8) - 1 = ?,0,True,L,
(8/1) - 1 = ?,14,False,H,
(9/9) + 3 = ?,4,True,S,
(9/3) - 3 = ?,0,True,J,
FHJKLNPQRSTY,4,
(9 * 1) + 5 = ?,19,False,Y,
(6 * 1) + 8 = ?,14,True,K,
(2 * 7) + 6 = ?,26,False,R,
(3 * 5) + 4 = ?,19,True,S,
FHJKLNPQRSTY,6,
(2 * 6) + 2 = ?,14,True,K,
(2/2) - 1 = ?,0,True,T,
(2/2) + 6 = ?,13,False,H,
(9/9) - 1 = ?,0,True,Q,
(1 * 9) - 1 = ?,17,False,L,
(1 * 7) - 1 = ?,6,True,Y,
FHJKLNPQRSTY,4,
(7 * 1) + 8 = ?,23,False,F,
(5/5) - 1 = ?,0,True,J,
(5/5) + 7 = ?,8,True,N,
(4/4) - 1 = ?,3,False,Y,
FHJKLNPQRSTY,4,
(4/4) + 1 = ?,2,True,K,
(2 * 8) - 1 = ?,20,False,S,
(6/6) - 1 = ?,0,True,H,
(7 * 2) + 5 = ?,19,True,R,
FHJKLNPQRSTY,6,
(7 * 1) - 5 = ?,2,True,R,
(5 * 1) + 1 = ?,6,True,P,
(5 * 3) + 1 = ?,16,True,H,
(6/2) - 1 = ?,2,True,F,
(2 * 2) - 1 = ?,7,False,K,
(2 * 1) - 1 = ?,1,True,T,
FHJKLNPQRSTY,4,
(9 * 1) + 1 = ?,10,True,L,
(2/2) + 6 = ?,7,True,Q,
(2 * 7) - 6 = ?,11,False,H,
(2 * 7) + 5 = ?,19,True,K,
FHJKLNPQRSTY,7,
(2 * 2) + 4 = ?,8,True,K,
(8 * 2) - 4 = ?,15,False,R,
(8/1) - 4 = ?,4,True,Y,
(8/1) + 1 = ?,10,False,H,
(2 * 4) + 9 = ?,18,False,F,
(2/2) - 1 = ?,8,False,L,
(7/7) + 9 = ?,10,True,S,
FHJKLNPQRSTY,4,
(9 * 1) - 9 = ?,4,False,P,
(1 * 5) + 7 = ?,21,False,F,
(7 * 1) - 7 = ?,9,False,Y,
(7/7) - 1 = ?,8,False,L,
